Date,Avg Temp (°C),Rain?,Min Temp (°C),Max Temp (°C)
2025-07-23,25.7,No rain,24.4,27.5
2025-07-24,26.7,Possible rain,25.0,29.6
2025-07-25,27.9,Possible rain,25.1,32.3
2025-07-26,28.9,Possible rain,25.5,34.4
2025-07-27,30.2,Possible rain,26.4,35.4
2025-07-28,33.0,Possible rain,27.7,36.5
2025-07-29,31.4,Possible rain,28.6,38.2
2025-07-30,29.9,Possible rain,27.0,32.9
2025-07-31,30.0,Possible rain,27.2,33.2
2025-08-16,24.6,No rain,24.0,25.0
2025-08-17,25.3,No rain,24.2,28.3
2025-08-18,27.3,Possible rain,24.9,31.6
2025-08-19,28.7,Possible rain,25.9,33.0
2025-08-20,29.2,Possible rain,26.0,33.2
2025-08-21,30.4,Possible rain,26.8,33.9
